condition_id,need_policy,self_model_policy,sensing_policy,memory_policy,allow_null,bridge_validation,passive_only,pair_limited,common_repair_decoder,primary,description
correlation_self_model,actual,correlation,need_guided,off,True,True,False,False,True,False,Replace intervention-based self-boundary learning with correlation-based inference.
no_bridge_validation,actual,causal,need_guided,off,True,False,False,False,True,False,Allow a positive bridge diagnosis to proceed directly to repair.
no_null,actual,causal,need_guided,off,False,True,False,False,True,False,Remove scoped no_bridge as an admissible diagnosis.
no_null_no_validation,actual,causal,need_guided,off,False,False,False,False,True,False,Diagnostic interaction: remove both scoped no_bridge and independent bridge validation.
pair_limited,actual,causal,need_guided,off,True,True,False,True,True,False,Limit generated intervention programs to length two.
passive_only,actual,causal,need_guided,off,True,True,True,False,True,False,Remove active intervention search; observational bridge inference only.
