split,relevance,mode,core_size,program_length,grammar_family,label_permuted,nonstationary,runs,primitive_cardinality,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_bypassed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,self_domain_observation_share,mean_need_target_mass_share,mean_need_true_core_mass_share,mean_sensed_need_mass_share,need_present_step_share,causal_isolating_observation_share,true_core_sensing_share,causal_target_sensing_share,other_core_mean_sensing_share,causal_target_sensing_selectivity,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,neutral,no_bridge_validation,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.5,0.5,4.0,41.861111111111114,0.05366809116809117,1.0,279.8611111111111,480.22222222222223,0.3888888888888889,0.6111111111111112,0.0,0.5,0.6111111111111112,0.799058765812458,0.001046928233985556,47.5,1.0,0.0,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3055555555555556,0.3055555555555556,0.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6699078322532889,0.7860453178801213,0.6568570318570318,0.4250242816621981,0.8399519965127334,0.42088781584636337,1.0,0.19449300699300698,0.5559197746697747,0.7591783216783217,0.08816530691530691,0.6710130147630148,3.5734277777777983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,neutral,no_bridge_validation,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.5555555555555556,0.5555555555555556,4.0,49.0,0.0175,1.0,308.1666666666667,583.4444444444445,0.05555555555555555,0.9444444444444444,0.0,0.5555555555555556,0.9444444444444444,0.9319581760364399,-0.002127013746259245,47.22222222222222,1.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.6692182673022369,0.7922030944773526,0.6567599067599068,0.43649365801903006,0.8461422758648219,0.44128262113339767,1.0,0.21066433566433565,0.6171814296814296,0.8118686868686869,0.0844988344988345,0.7273698523698524,3.7439833333333485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,neutral,no_bridge_validation,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.3888888888888889,0.3888888888888889,4.0,49.0,0.0175,1.0,299.05555555555554,549.5555555555555,0.2222222222222222,0.7777777777777778,0.0,0.3888888888888889,0.7777777777777778,0.9281543363093763,-0.0012787986458154615,45.27777777777778,1.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6690813842056643,0.7978745758748887,0.655011655011655,0.4638033717168915,0.849527349601374,0.4620058747814725,1.0,0.20347707847707847,0.6065947940947941,0.8275058275058275,0.07713675213675214,0.7503690753690754,3.756900000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,neutral,no_null,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.0,0.0,4.0,41.861111111111114,0.05366809116809117,0.0,601.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00025803660617347866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6680792151188246,0.7839541739392701,0.6570998445998446,0.425952979710988,0.8452352458169438,0.4145856987374748,1.0,0.19463869463869463,0.5563325563325563,0.7702020202020202,0.08561577311577312,0.684586247086247,3.600184722222244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,neutral,no_null,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.0,0.0,4.0,49.0,0.0175,0.0,601.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002679702722488148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6693325393973022,0.7928065283245622,0.6549145299145299,0.43020502419756534,0.8459794898547199,0.43658151978230203,1.0,0.20959595959595959,0.6146076146076146,0.7963286713286714,0.08657731157731158,0.7097513597513597,3.7874222222222387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,neutral,no_null,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.0,0.0,4.0,49.0,0.0175,0.0,601.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003413565890002364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6678652953829426,0.7965655660347097,0.6555944055944056,0.45101644576794675,0.8438582352516626,0.4566705401456389,1.0,0.20405982905982906,0.6045551670551671,0.8136169386169386,0.0790986790986791,0.7345182595182596,3.792127777777795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,neutral,no_null_no_validation,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.9226190476190477,0.9722222222222222,0.4166666666666667,0.4166666666666667,4.0,41.861111111111114,0.05366809116809117,1.0,263.1666666666667,272.75,1.0,0.0,0.0,0.4166666666666667,0.0,0.8082732817393411,-0.0005457297942278898,43.138888888888886,1.0,0.0,1.0,1.0,0.0,1.0,1.9444444444444444,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.8611111111111112,0.8611111111111112,0.9722222222222222,0.0,0.0,0.0,0.6714604940699195,0.787378391421448,0.6511266511266511,0.403231874250453,0.8255062448787088,0.4259517339764703,1.0,0.19303613053613053,0.5525689588189588,0.7180458430458431,0.09677301864801864,0.6212728243978244,3.6255166666666887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,neutral,no_null_no_validation,6,4,context_comp,1,0,18,7.0,600.0,1.0,1.0,0.9682539682539683,0.962962962962963,0.5,0.5,4.0,49.0,0.0175,1.0,290.72222222222223,290.72222222222223,1.0,0.0,0.0,0.5,0.0,0.8977352989674515,-0.0007727127193185456,43.888888888888886,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.671246258132231,0.7954766714642524,0.6560800310800311,0.409742554560656,0.8197448815972304,0.441722757372853,1.0,0.21027583527583527,0.6056721056721057,0.7358197358197358,0.0951048951048951,0.6407148407148407,3.7983333333333498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,neutral,no_null_no_validation,6,4,context_comp,1,1,18,7.0,600.0,1.0,1.0,0.9404761904761905,0.9444444444444444,0.5,0.5,4.0,49.0,0.0175,1.0,287.94444444444446,306.05555555555554,1.0,0.0,0.0,0.5,0.0,0.9090975864058274,-0.0014826729557335275,43.111111111111114,1.0,0.0,1.0,1.0,0.0,1.0,3.4444444444444446,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,2.5,0.0,0.0,0.0,0.6710415815438134,0.8000861309872566,0.6509324009324009,0.4471693042833702,0.8199224239932706,0.47220333073934845,1.0,0.2028943278943279,0.5876068376068376,0.7861305361305362,0.07781662781662782,0.7083139083139083,3.8592555555555723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
confirmation,self_relevant,correlation_self_model,5,3,branch_comp,1,0,36,5.0,600.0,1.0,1.0,0.4289702581369248,0.9555555555555556,0.7222222222222222,0.7222222222222222,4.0,41.44444444444444,0.053133903133903135,1.0,283.27777777777777,470.1666666666667,0.4722222222222222,0.5277777777777778,0.5277777777777778,0.7222222222222222,0.4722222222222222,0.788615473877754,0.002464884143438111,49.638888888888886,1.0,0.5,0.4722222222222222,0.0,0.012245763916267088,0.4722222222222222,1.0833333333333333,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3611111111111111,0.3611111111111111,0.6944444444444444,0.0,0.0,0.3888888888888889,0.8103415804656049,0.8456479260185232,0.6604020979020979,0.06294181345542524,0.2150849068151411,0.22917397208042994,1.0,0.19546425796425795,0.2645444832944833,0.1262140637140637,0.10071872571872571,0.025495337995337996,3.617343055555577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
