split,seed,relevance,mode,need_policy,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_bypassed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,self_domain_observation_share,mean_need_target_mass_share,mean_need_true_core_mass_share,mean_sensed_need_mass_share,need_present_step_share,causal_isolating_observation_share,true_core_sensing_share,causal_target_sensing_share,other_core_mean_sensing_share,causal_target_sensing_selectivity,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count,yoke_donor_seed,yoke_component_shift
confirmation,30017,self_relevant,correlation_self_model,actual,"1,9,4,7,10,6",6,dense,m0,m3,p1>p6>p1>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,0.6,1.0,1,1,4,49,0.0175,1,289,601,0,1,1,1,0,0.896774399029256,-0.0022945325569388875,43,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7369444157198842,0.81875721394415,0.666083916083916,0.04717669579354529,0.28985109302159906,0.49624293369307165,1.0,0.22377622377622378,0.11713286713286714,0.08566433566433566,0.02972027972027972,0.055944055944055944,3.7583000000000153,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30017,self_relevant,pair_limited,actual,"1,9,4,7,10,6",6,dense,m0,m3,p1>p6>p1>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,0.8571428571428571,1.0,0,0,2,35,0.0125,0,601,601,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8239137454995185,0.8457526097692893,0.6241258741258742,0.18412208914576325,0.5768367483857757,0.37469695913334966,1.0,0.20104895104895104,0.4763986013986014,0.21678321678321677,0.1472027972027972,0.06958041958041958,3.2410000000000028,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30017,self_relevant,passive_only,actual,"1,9,4,7,10,6",6,dense,m0,m3,p1>p6>p1>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,0.8571428571428571,1.0,0,0,0,0,0.0,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.0015587998026462934,0,0,0,0,0,0,0,0,0,0,0,0,0.8396902732957003,0.858793910722835,0.6153846153846154,0.2009147951543989,0.6608999606255623,0.3333553723635156,1.0,0.15384615384615385,0.48776223776223776,0.263986013986014,0.1423076923076923,0.12167832167832171,7.496400000000055,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0,,
confirmation,30018,neutral,no_bridge_validation,actual,"3,1,5,2,6",5,ring,m0,m3,p5>p6>p0,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,1,1,4,43,0.05512820512820513,1,275,601,0,1,0,1,1,0.7788782352819678,-0.00456531337005548,47,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6231372203339385,0.7697700785896443,0.6573426573426573,0.5733378637206753,0.762285625730315,0.573703978698972,1.0,0.21153846153846154,0.5699300699300699,0.9283216783216783,0.052884615384615384,0.8754370629370629,3.5489000000000197,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30018,neutral,no_null,actual,"3,1,5,2,6",5,ring,m0,m3,p5>p6>p0,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,43,0.05512820512820513,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,9.24745763292908e-05,0,0,0,0,0,0,0,0,0,1,0,1,0.6249111525682288,0.7698035507039548,0.6643356643356644,0.5790421340282382,0.757527201378102,0.5792936550417762,1.0,0.21328671328671328,0.5699300699300699,0.9265734265734266,0.05332167832167832,0.8732517482517482,3.6026500000000214,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30018,neutral,no_null_no_validation,actual,"3,1,5,2,6",5,ring,m0,m3,p5>p6>p0,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,1,1,4,43,0.05512820512820513,1,261,601,1,0,0,1,0,0.7711835492977476,-0.001558461101411203,44,1,0,1,1,0.0,1,30,1,0,0,0,0,0,30,0,0,0,0.6380237680852937,0.7752774567051138,0.6520979020979021,0.5642717113156535,0.7692871270339292,0.5640668604724015,1.0,0.2097902097902098,0.5699300699300699,0.9265734265734266,0.05332167832167832,0.8732517482517482,4.263950000000032,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30018,self_relevant,correlation_self_model,actual,"3,1,5,2,6",5,ring,m0,m3,p5>p6>p0,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.4166666666666667,1.0,1,1,4,42,0.05384615384615385,1,266,601,0,1,1,1,0,0.77409252005708,0.0012633076536847166,44,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7706587980494611,0.8291233802724267,0.6608391608391608,0.0891903120597316,0.16629387199320342,0.2327120917785904,1.0,0.21328671328671328,0.22552447552447552,0.11888111888111888,0.08304195804195805,0.03583916083916083,3.5782500000000206,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30018,self_relevant,pair_limited,actual,"3,1,5,2,6",5,ring,m0,m3,p5>p6>p0,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,2,27,0.03461538461538462,0,601,601,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.6846318659137762,0.7763638814220432,0.666083916083916,0.484463070200133,0.627598307447896,0.5208687232579096,1.0,0.20104895104895104,0.5314685314685315,0.7482517482517482,0.07867132867132867,0.6695804195804196,3.2394000000000056,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30018,self_relevant,passive_only,actual,"3,1,5,2,6",5,ring,m0,m3,p5>p6>p0,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,0,0,0.0,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.0015587998026462934,0,0,0,0,0,0,0,0,0,0,0,0,0.7102110243722034,0.7921882903108812,0.6678321678321678,0.36766615417600146,0.7434763474125495,0.34776605826225027,1.0,0.16783216783216784,0.5472027972027972,0.5769230769230769,0.12937062937062938,0.4475524475524475,6.056800000000051,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0,,
confirmation,30019,neutral,no_bridge_validation,actual,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,0,0,4,49,0.0175,1,277,277,1,0,0,0,0,0.8164005747567412,0.0058877313486343395,43,1,0,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6553434112340889,0.7931704485672278,0.6538461538461539,0.37343216650312194,0.8572365828534992,0.3638941602880169,1.0,0.1853146853146853,0.6311188811188811,0.7674825174825175,0.09895104895104895,0.6685314685314685,3.800900000000018,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30019,neutral,no_null,actual,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,0,0,4,49,0.0175,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.6548020909026042,0.7895958444695479,0.666083916083916,0.36886819928746256,0.8580056734820933,0.3589196818034745,1.0,0.18706293706293706,0.631993006993007,0.7744755244755245,0.0979020979020979,0.6765734265734266,3.807100000000017,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30019,neutral,no_null_no_validation,actual,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,0,0,4,49,0.0175,1,277,277,1,0,0,0,0,0.8164005747567412,0.0058877313486343395,43,1,0,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6553434112340889,0.7931704485672278,0.6538461538461539,0.37343216650312194,0.8572365828534992,0.3638941602880169,1.0,0.1853146853146853,0.6311188811188811,0.7674825174825175,0.09895104895104895,0.6685314685314685,3.800900000000018,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30019,self_relevant,correlation_self_model,actual,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.5,1.0,1,1,4,49,0.0175,1,294,601,0,1,1,1,0,0.8425449263830453,-0.002354179448394274,48,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8285284615611047,0.8519191789488297,0.6538461538461539,0.07800081626083537,0.3362716402448219,0.2862990337019733,1.0,0.1853146853146853,0.19667832167832167,0.0472027972027972,0.06923076923076923,-0.022027972027972034,3.7429000000000157,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30019,self_relevant,pair_limited,actual,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,0,0,2,35,0.0125,0,601,601,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7797653398051746,0.8248289601531181,0.6608391608391608,0.24944097931969167,0.8559328225744999,0.2571319596669884,1.0,0.17482517482517482,0.6145104895104895,0.3531468531468531,0.17517482517482516,0.17797202797202796,3.255000000000006,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30019,self_relevant,passive_only,actual,"11,8,7,13,9,6",6,chain,m3,m1,p3>p5>p3>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,600,1,1.0,0.8333333333333334,0.8333333333333334,0,0,0,0,0.0,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.002075507792669836,0,0,0,0,0,0,0,0,0,0,0,0,0.8781090788779068,0.8992227911884565,0.534965034965035,0.09588464595256402,0.8131556761788811,0.49763808448275365,1.0,0.0,0.6232517482517482,0.043706293706293704,0.24055944055944056,-0.19685314685314687,7.569600000000051,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0,,
confirmation,30020,neutral,no_bridge_validation,actual,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,42,0.05384615384615385,1,278,601,0,1,0,0,1,0.7749124604620515,-0.002072649812691262,44,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7070046219768527,0.7976015450005158,0.6363636363636364,0.5632368078385963,0.7043453170747007,0.5898209018847339,1.0,0.18006993006993008,0.49213286713286714,0.9073426573426573,0.019230769230769232,0.888111888111888,3.5340500000000197,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30020,neutral,no_null,actual,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,42,0.05384615384615385,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,2.9151762659545877e-05,0,0,0,0,0,0,0,0,0,1,0,1,0.7069472561530649,0.7983072822982017,0.6381118881118881,0.5584061879701852,0.6992389249964158,0.5876049326256396,1.0,0.18006993006993008,0.49475524475524474,0.9125874125874126,0.019230769230769232,0.8933566433566433,3.5828500000000214,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30020,neutral,no_null_no_validation,actual,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,4,42,0.05384615384615385,1,274,274,1,0,0,0,0,0.7749124604620515,-0.002072649812691262,44,1,0,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.7091880374408398,0.800541427964556,0.6311188811188811,0.5673114082702383,0.7098472513000079,0.5950769503107128,1.0,0.17832167832167833,0.48863636363636365,0.8986013986013986,0.019667832167832168,0.8789335664335665,3.585100000000022,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30020,self_relevant,correlation_self_model,actual,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.5,1.0,1,1,4,42,0.05384615384615385,1,267,601,1,0,0,1,1,0.7205353275032476,0.004439915208874216,47,1,1,1,0,0.02663037327911338,1,10,0,0,0,0,0,0,10,0,0,0,0.8291938606027838,0.8518105950172249,0.6608391608391608,0.04518920975060007,0.1575113266604742,0.32784692518664116,1.0,0.18706293706293706,0.1652097902097902,0.026223776223776224,0.07604895104895106,-0.04982517482517483,4.037850000000032,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30020,self_relevant,pair_limited,actual,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,2,27,0.03461538461538462,0,601,601,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7618205169212033,0.8149216557101051,0.5716783216783217,0.2812239798739753,0.39370974007765674,0.40065102758936955,1.0,0.1520979020979021,0.32517482517482516,0.49125874125874125,0.03977272727272727,0.45148601398601396,3.2030000000000074,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30020,self_relevant,passive_only,actual,"1,2,11,4,6",5,dense,m1,m0,p7>p6>p4,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.8333333333333334,1.0,0,0,0,0,0.0,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.002075507792669836,0,0,0,0,0,0,0,0,0,0,0,0,0.8738368411783518,0.8913798484470407,0.5751748251748252,0.02378979314628396,0.10965689575364541,0.42060216224399605,1.0,0.0,0.1354895104895105,0.04895104895104895,0.05550699300699301,-0.006555944055944056,4.544000000000046,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0,,
confirmation,30021,neutral,no_bridge_validation,actual,"10,3,6,9,13,7",6,ring,m2,m3,p4>p5>p4>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,285,285,1,0,0,0,0,0.8351671919782326,0.0063863630686431735,47,1,0,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6822159036112768,0.8037441806359943,0.6678321678321678,0.3905808823967042,0.9345136537388531,0.3728222864038222,1.0,0.22552447552447552,0.6232517482517482,0.791958041958042,0.09090909090909091,0.701048951048951,3.8163000000000173,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30021,neutral,no_null,actual,"10,3,6,9,13,7",6,ring,m2,m3,p4>p5>p4>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,1.0,0,0,4,49,0.0175,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.6771091940946687,0.799074510961447,0.6695804195804196,0.37931904509797526,0.933331163153333,0.3616392176529153,1.0,0.22552447552447552,0.6258741258741258,0.7902097902097902,0.0923076923076923,0.6979020979020979,3.807100000000017,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30021,neutral,no_null_no_validation,actual,"10,3,6,9,13,7",6,ring,m2,m3,p4>p5>p4>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,280,280,1,0,0,1,0,0.9823783417828237,-0.003140198768266215,42,1,0,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6804832185475587,0.8018679923830224,0.6730769230769231,0.3804966254545839,0.9109572776976365,0.3660149734045466,1.0,0.22727272727272727,0.625,0.7937062937062938,0.09125874125874125,0.7024475524475525,3.824000000000017,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30021,self_relevant,correlation_self_model,actual,"10,3,6,9,13,7",6,ring,m2,m3,p4>p5>p4>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,0.5,1.0,1,1,4,49,0.0175,1,296,601,0,1,1,1,0,0.9785791946838396,-0.0009930089169649784,46,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8064767136982569,0.8445710694638299,0.6625874125874126,0.07108636905229967,0.31565686993627134,0.20345122898531576,1.0,0.22377622377622378,0.18006993006993008,0.09090909090909091,0.05384615384615385,0.03706293706293706,3.750600000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30021,self_relevant,pair_limited,actual,"10,3,6,9,13,7",6,ring,m2,m3,p4>p5>p4>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,1.0,0,0,2,35,0.0125,0,601,601,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7850465256555135,0.8286517775057115,0.6643356643356644,0.2724223755246817,0.9373820977213819,0.3040738144349825,1.0,0.21153846153846154,0.6215034965034965,0.4160839160839161,0.16538461538461538,0.2506993006993007,3.257800000000006,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30021,self_relevant,passive_only,actual,"10,3,6,9,13,7",6,ring,m2,m3,p4>p5>p4>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,600,1,1.0,1.0,1.0,0,0,0,0,0.0,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.0015587998026462934,0,0,0,0,0,0,0,0,0,0,0,0,0.72495122535806,0.8037971930904053,0.6713286713286714,0.26049217885890785,0.9454429443977526,0.3030435097649811,1.0,0.16783216783216784,0.6162587412587412,0.36013986013986016,0.17447552447552447,0.18566433566433568,5.959200000000049,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0,,
confirmation,30022,neutral,no_bridge_validation,actual,"12,4,13,10,8",5,chain,m2,m3,p6>p4>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.6666666666666666,0.8,0,0,4,41,0.052564102564102565,1,267,267,1,0,0,0,0,0.7243588419752427,0.004843767759593226,48,1,0,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.7357723714544001,0.8312695684893295,0.6643356643356644,0.31996747760554983,0.6142428960731146,0.3059374420800601,1.0,0.21328671328671328,0.43094405594405594,0.541958041958042,0.07998251748251747,0.4619755244755245,3.609850000000022,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
confirmation,30022,neutral,no_null,actual,"12,4,13,10,8",5,chain,m2,m3,p6>p4>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,600,1,1.0,0.6666666666666666,0.8,0,0,4,41,0.052564102564102565,0,601,601,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.735512807889097,0.8288808961527057,0.6643356643356644,0.322428059462837,0.6236394182097722,0.30523660692426635,1.0,0.21328671328671328,0.4431818181818182,0.5699300699300699,0.0791083916083916,0.4908216783216783,3.602650000000022,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,1,0,,
