metric,role,n_pairs,mean_difference,ci_lower,ci_upper,sesoi,bootstrap_seed,bootstrap_replicates
mean_need_target_mass_share,manipulation_check,72,0.08759543377231035,0.060905287266863097,0.11476628452281099,0.0,941731,50000
causal_target_sensing_share,primary_mechanism,72,0.11732711732711731,0.07216334013209014,0.163243006993007,0.08,941731,50000
causal_target_sensing_selectivity,key_secondary,72,0.10198499417249417,0.04910010562354312,0.15561920284576547,0.08,941731,50000
replicated_restoration,downstream_confirmatory_secondary,72,0.2916666666666667,0.16666666666666666,0.4166666666666667,0.1,941731,50000
