seed,relevance,stratum,left_condition,right_condition,metric,left_value,right_value,difference
30001,self_relevant,6|context_comp|7|0|chain,actual_need,yoked_need,diagnosis_observations,339.0,288.0,51.0
30001,self_relevant,6|context_comp|7|0|chain,actual_need,yoked_need,replicated_restoration,0.0,0.0,0.0
30001,self_relevant,6|context_comp|7|0|chain,actual_need,yoked_need,false_null,1.0,1.0,0.0
30001,self_relevant,6|context_comp|7|0|chain,actual_need,yoked_need,false_repair,0.0,0.0,0.0
30001,self_relevant,6|context_comp|7|0|chain,actual_need,yoked_need,common_decoder_bridge_correct,0.0,0.0,0.0
30001,self_relevant,6|context_comp|7|0|chain,actual_need,yoked_need,common_decoder_replicated_restoration,0.0,0.0,0.0
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,mean_need_target_mass_share,0.40864246870203724,0.02424697339769884,0.3843954953043384
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,mean_need_true_core_mass_share,0.9031587131094477,0.16227101278523717,0.7408877003242106
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,mean_sensed_need_mass_share,0.3988780591097475,0.5819634727643695,-0.18308541365462205
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,self_domain_observation_share,0.6573426573426573,0.6573426573426573,0.0
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,causal_target_sensing_share,0.791958041958042,0.027972027972027972,0.763986013986014
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,causal_target_sensing_selectivity,0.7141608391608392,-0.03146853146853147,0.7456293706293706
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,diagnosis_observations,269.0,267.0,2.0
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,replicated_restoration,0.0,0.0,0.0
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,false_null,0.0,0.0,0.0
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,false_repair,0.0,0.0,0.0
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,common_decoder_bridge_correct,1.0,1.0,0.0
30002,neutral,5|branch_comp|5|0|dense,actual_need,yoked_need,common_decoder_replicated_restoration,0.0,0.0,0.0
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,mean_need_target_mass_share,0.04243323732069595,0.009388521524103813,0.033044715796592135
30002,self_relevant,5|branch_comp|5|0|dense,actual_need,yoked_need,mean_need_true_core_mass_share,0.3752452005555612,0.168307385570708,0.2069378149848532
