split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18024,neutral,oracle_family_generation,"0,11,10,13,7",5,ring,m2,m0,p0>p7>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,138,281,0,1,0,1,1,0.8687595679406981,0.0011813245361872709,50,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6836713648628415,0.7866816792321881,2.492000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18025,self_relevant,oracle_family_generation,"12,2,13,9,4,7",6,chain,m2,m1,p4>p5>p4>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,129,129,1,0,0,1,1,0.9871638252397777,0.010249217434822438,46,1,1,1,0.02971230089295934,1,1,0,1,1,1,1,1,0,0,0,1,0.786900435844402,0.8655793574911188,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18025,neutral,oracle_family_generation,"12,2,13,9,4,7",6,chain,m2,m1,p4>p5>p4>p1,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,133,281,0,1,0,1,1,0.9871638252397777,-0.0006710683508873569,46,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7020820968186532,0.772402065762943,2.607850000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18026,self_relevant,oracle_family_generation,"4,12,7,8,9",5,dense,m1,m2,p1>p3>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,133,133,1,0,0,1,1,0.7293638133003096,0.004095233204737285,50,1,1,1,0.023948387476522243,1,1,0,1,1,1,1,1,0,0,0,1,0.7926123755373986,0.843636064165443,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18026,neutral,oracle_family_generation,"4,12,7,8,9",5,dense,m1,m2,p1>p3>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,3,1,0.001282051282051282,1,166,281,0,1,0,0,1,0.862660467725304,0.000998341361053561,62,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6857814039313013,0.7577165763142494,2.467600000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18027,self_relevant,oracle_family_generation,"1,7,0,10,11,5",6,ring,m3,m0,p7>p5>p7>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,133,133,1,0,0,1,1,0.8457147154504223,0.009743955805615906,50,1,1,1,0.03009769476485884,1,1,0,1,1,1,1,1,0,0,0,1,0.7744707076776756,0.8475745253684649,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18027,neutral,oracle_family_generation,"1,7,0,10,11,5",6,ring,m3,m0,p7>p5>p7>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,1,0.00035714285714285714,1,143,281,0,1,0,0,1,0.9111941653484575,-0.0003604555115691707,52,1,1,0,0.0007798625665043664,0,0,0,0,0,0,0,0,0,1,1,1,0.653477395912899,0.7671684376036131,2.632250000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18028,self_relevant,oracle_family_generation,"7,1,8,9,4",5,chain,m2,m0,p1>p0>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,129,129,1,0,0,1,1,0.8662773370065913,0.009663438263686288,46,1,1,1,0.025571108487349756,1,1,0,1,1,1,1,1,0,0,0,1,0.7577956644293184,0.851260669710711,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18028,neutral,oracle_family_generation,"7,1,8,9,4",5,chain,m2,m0,p1>p0>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,255,281,0,1,0,1,1,0.8715650470788743,0.0010855909165587967,97,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.48413720870541127,0.7698694404953107,2.492000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18029,self_relevant,oracle_family_generation,"2,8,10,5,0,4",6,dense,m1,m0,p6>p7>p6>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,133,133,1,0,0,1,1,0.8447385989058783,0.011321183177514514,50,1,1,1,0.03009769476485884,1,1,0,1,1,1,1,1,0,0,0,1,0.7541782689930687,0.832470038855177,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18029,neutral,oracle_family_generation,"2,8,10,5,0,4",6,dense,m1,m0,p6>p7>p6>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,0,0,4,1,0.00035714285714285714,1,134,281,0,1,0,0,1,0.9073611301220349,-0.0004527380394848835,48,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5744527075952282,0.7178499396847992,2.632250000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18030,self_relevant,oracle_family_generation,"6,1,9,8,11",5,ring,m0,m3,p6>p5>p0,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,129,129,1,0,0,1,1,0.7938707695759646,0.009737541037529482,48,1,1,1,0.025444746736284368,1,1,0,1,1,1,1,1,0,0,0,1,0.7920316604690969,0.848728035240591,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18030,neutral,oracle_family_generation,"6,1,9,8,11",5,ring,m0,m3,p6>p5>p0,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,140,281,0,1,0,1,1,0.7987521288858572,-0.0020830790735423717,52,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6734302565833827,0.7484639858090658,2.467600000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18031,self_relevant,oracle_family_generation,"8,0,4,11,10,12",6,chain,m2,m1,p4>p1>p4>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,129,129,1,0,0,1,1,0.9813704697474954,0.007136340770947578,46,1,1,1,0.02851587878453522,1,1,0,1,1,1,1,1,0,0,0,1,0.7856556464319351,0.8699727863478897,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18031,neutral,oracle_family_generation,"8,0,4,11,10,12",6,chain,m2,m1,p4>p1>p4>p2,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,133,281,0,1,0,1,1,0.9813704697474954,-0.00040461743200060317,46,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5821146121849667,0.7587536678439756,2.607850000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18032,self_relevant,oracle_family_generation,"6,8,9,13,2",5,dense,m1,m2,p5>p0>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,133,133,1,0,0,1,1,0.7287136189609893,0.012251684848499221,50,1,1,1,0.02407349219281611,1,1,0,1,1,1,0,0,0,0,0,1,0.7612874974965285,0.814725792240646,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18032,neutral,oracle_family_generation,"6,8,9,13,2",5,dense,m1,m2,p5>p0>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,3,1,0.001282051282051282,1,134,281,0,1,0,0,1,0.8590724751504115,-0.003290701340927668,46,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6210317052589188,0.7310981347388844,2.492000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18033,self_relevant,oracle_family_generation,"11,1,4,0,3,8",6,ring,m2,m3,p7>p0>p7>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,129,129,1,0,0,1,1,0.9769481738176716,0.00769576465976104,46,1,1,1,0.029363015129657166,1,1,0,1,1,1,1,1,0,0,0,1,0.7895083954306661,0.8605235710701621,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18033,neutral,oracle_family_generation,"11,1,4,0,3,8",6,ring,m2,m3,p7>p0>p7>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,149,281,0,1,0,1,1,0.9800212100368841,-0.002242655655382538,54,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5979105356764735,0.7697254682320573,2.607850000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18034,self_relevant,oracle_family_generation,"3,6,1,9,4",5,chain,m3,m2,p2>p0>p1,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,133,133,1,0,0,1,1,0.7305760219964904,0.014328875111441245,50,1,1,1,0.02558527647393699,1,1,0,1,1,1,1,1,0,0,0,1,0.7867325828734723,0.8611863603261509,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18034,neutral,oracle_family_generation,"3,6,1,9,4",5,chain,m3,m2,p2>p0>p1,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,3,1,0.001282051282051282,1,133,281,0,1,0,0,1,0.863522735956676,-0.00022029145910915614,46,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6429752480780331,0.7682050235780107,2.467600000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18035,self_relevant,oracle_family_generation,"10,12,7,8,4,9",6,dense,m2,m1,p2>p1>p2>p7,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,129,129,1,0,0,1,1,0.9777409127127038,0.015324483024484647,46,1,1,1,0.02725523743987802,1,1,0,1,1,1,1,1,0,0,0,1,0.7974043814917346,0.8581914213852326,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18035,neutral,oracle_family_generation,"10,12,7,8,4,9",6,dense,m2,m1,p2>p1>p2>p7,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,134,281,0,1,0,1,1,0.9777409127127038,0.004631158888803718,46,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.657563051729717,0.7714043771116618,2.6566500000000017,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18036,self_relevant,oracle_family_generation,"2,0,7,9,6",5,ring,m0,m2,p1>p7>p6,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,133,133,1,0,0,1,1,0.7971328285365764,0.009924899229016196,48,1,1,1,0.024905060037094136,1,1,0,1,1,1,1,1,0,0,0,1,0.7854017811390249,0.8271468949749823,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18036,neutral,oracle_family_generation,"2,0,7,9,6",5,ring,m0,m2,p1>p7>p6,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,3,1,0.001282051282051282,1,243,281,0,1,0,0,1,0.8472504629330717,-0.0005549651926214337,94,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5572471016483125,0.7252126515806092,2.467600000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18037,self_relevant,oracle_family_generation,"8,9,5,13,6,0",6,chain,m0,m3,p0>p6>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,129,129,1,0,0,1,1,0.9114488682433012,0.008838766052559562,48,1,1,1,0.02725523743987802,1,1,0,1,1,1,1,1,0,0,0,1,0.7852918018440614,0.8690169274044055,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18037,neutral,oracle_family_generation,"8,9,5,13,6,0",6,chain,m0,m3,p0>p6>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,142,281,0,1,0,1,1,0.9165736406848839,0.00022613745066736406,52,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6796707633851937,0.7856924426045094,2.607850000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18038,self_relevant,oracle_family_generation,"0,5,9,4,7",5,dense,m0,m1,p7>p5>p6,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,129,129,1,0,0,1,1,0.7827263490849399,0.010259257221101855,48,1,1,1,0.02523031147458518,1,1,0,1,1,1,1,1,0,0,0,1,0.780905112155559,0.8364377625963743,2.548000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18038,neutral,oracle_family_generation,"0,5,9,4,7",5,dense,m0,m1,p7>p5>p6,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,3,1,0.001282051282051282,1,133,281,0,1,0,1,1,0.7827263490849399,0.006773795247250995,48,1,1,0,2.119905256785382e-05,0,0,0,0,0,0,0,0,0,1,1,1,0.6593980871419566,0.7824035727274292,2.492000000000005,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18039,self_relevant,oracle_family_generation,"9,13,2,5,3,1",6,ring,m2,m1,p3>p0>p3>p7,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,129,129,1,0,0,1,1,0.98108683109904,0.0097842182512531,46,1,1,1,0.02915668180952786,1,1,0,1,1,1,1,1,0,0,0,1,0.786048434597362,0.8543275969220127,2.6902500000000016,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
confirmation,18039,neutral,oracle_family_generation,"9,13,2,5,3,1",6,ring,m2,m1,p3>p0>p3>p7,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,1,0.00035714285714285714,1,134,281,0,1,0,1,1,0.98108683109904,0.00010008269361789883,46,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6206422311288365,0.7548039184905143,2.632250000000002,0,0,0,0.0,0.0,none,0.0,0.0,0.0,0,0,0,0,0
