relevance,condition,n,causal_target_sensing_share_mean,causal_target_sensing_selectivity_mean,bridge_decision_correct_mean,bridge_decision_correct_count,explicit_no_bridge_mean,explicit_no_bridge_count,false_repair_mean,false_repair_count,replicated_restoration_mean,replicated_restoration_count,diagnosis_observations_mean,common_decoder_bridge_correct_mean,common_decoder_bridge_correct_count,common_decoder_false_repair_mean,common_decoder_false_repair_count,common_decoder_replicated_restoration_mean,common_decoder_replicated_restoration_count
self_relevant,actual_need,72,0.23917055167055168,0.0977685508935509,0.6111111111111112,44,0.3888888888888889,28,0.0,0,0.5694444444444444,41,317.90277777777777,0.6111111111111112,44,0.0,0,0.5555555555555556,40
self_relevant,yoked_need,72,0.12184343434343435,-0.004216443278943279,0.2916666666666667,21,0.7083333333333334,51,0.0,0,0.2777777777777778,20,326.1111111111111,0.2916666666666667,21,0.0,0,0.2777777777777778,20
self_relevant,curiosity,72,0.12626262626262627,-0.0009263306138306149,0.3333333333333333,24,0.6666666666666666,48,0.0,0,0.3055555555555556,22,307.625,,,,,,
self_relevant,no_need,72,0.12626262626262627,-0.0009263306138306149,0.2916666666666667,21,0.625,45,0.0,0,0.2361111111111111,17,416.94444444444446,,,,,,
neutral,actual_need,72,0.7960615773115773,0.713013548951049,0.9861111111111112,71,0.9861111111111112,71,0.0,0,0.0,0,294.56944444444446,0.8472222222222222,61,0.0,0,0.0,0
neutral,yoked_need,72,0.11084401709401709,-0.005534916472416474,0.9861111111111112,71,0.9861111111111112,71,0.0,0,0.0,0,290.4583333333333,0.9166666666666666,66,0.0,0,0.0,0
neutral,curiosity,72,0.12626262626262627,-0.0009263306138306149,1.0,72,1.0,72,0.0,0,0.0,0,295.7916666666667,,,,,,
neutral,no_need,72,0.12626262626262627,-0.0009263306138306149,1.0,72,1.0,72,0.0,0,0.0,0,381.27777777777777,,,,,,
