relevance,condition,n,core_precision_mean,core_recall_mean,diagnosis_made_mean,diagnosis_made_count,bridge_decision_correct_mean,bridge_decision_correct_count,explicit_no_bridge_mean,explicit_no_bridge_count,repair_attempted_mean,repair_attempted_count,false_repair_mean,false_repair_count,organization_restored_mean,organization_restored_count,replicated_restoration_mean,replicated_restoration_count,exact_program_mean,exact_program_count,functional_program_mean,functional_program_count,causal_target_sensing_share_mean,diagnosis_observations_mean
self_relevant,correlation_self_model,72,0.4574625220458554,0.9430555555555556,1.0,72,0.3472222222222222,25,0.6527777777777778,47,0.3472222222222222,25,0.0,0,0.25,18,0.2361111111111111,17,0.7083333333333334,51,0.7083333333333334,51,0.11912393162393162,290.3611111111111
neutral,no_null,72,0.9384920634920635,0.9629629629629629,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.7875874125874126,601.0
neutral,no_bridge_validation,72,0.9384920634920635,0.9629629629629629,1.0,72,0.7361111111111112,53,0.7361111111111112,53,0.2638888888888889,19,0.2638888888888889,19,0.25,18,0.19444444444444445,14,0.4861111111111111,35,0.4861111111111111,35,0.7894327894327895,291.7361111111111
neutral,no_null_no_validation,72,0.9384920634920635,0.9629629629629629,1.0,72,0.0,0,0.0,0,1.0,72,1.0,72,0.9722222222222222,70,0.9166666666666666,66,0.4583333333333333,33,0.4583333333333333,33,0.7395104895104896,276.25
self_relevant,passive_only,72,0.9384920634920635,0.9629629629629629,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2527923465423465,601.0
self_relevant,pair_limited,72,0.9384920634920635,0.9629629629629629,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.3494318181818182,601.0
